Epoch 021/10000, train MSE = 0.188602, val MSE = 0.185132, val RMSE = 0.430270, val MAE = 0.274611, avg grad norm = 10.706184, clip fraction = 0.9967, epsilon = 16.4874, delta = 1e-05
Epoch 022/10000, train MSE = 0.187765, val MSE = 0.184433, val RMSE = 0.429457, val MAE = 0.274639, avg grad norm = 10.518259, clip fraction = 0.9965, epsilon = 16.9085, delta = 1e-05
Epoch 023/10000, train MSE = 0.187225, val MSE = 0.183807, val RMSE = 0.428727, val MAE = 0.275220, avg grad norm = 10.374111, clip fraction = 0.9963, epsilon = 17.3245, delta = 1e-05
Epoch 024/10000, train MSE = 0.187357, val MSE = 0.183506, val RMSE = 0.428376, val MAE = 0.274421, avg grad norm = 10.407099, clip fraction = 0.9974, epsilon = 17.7156, delta = 1e-05
Epoch 025/10000, train MSE = 0.187669, val MSE = 0.184142, val RMSE = 0.429118, val MAE = 0.274398, avg grad norm = 10.435880, clip fraction = 0.9955, epsilon = 18.1066, delta = 1e-05
Epoch 026/10000, train MSE = 0.186753, val MSE = 0.183360, val RMSE = 0.428206, val MAE = 0.274717, avg grad norm = 10.208354, clip fraction = 0.9961, epsilon = 18.4976, delta = 1e-05
Epoch 027/10000, train MSE = 0.186749, val MSE = 0.183039, val RMSE = 0.427830, val MAE = 0.274961, avg grad norm = 10.205762, clip fraction = 0.9957, epsilon = 18.8887, delta = 1e-05
Epoch 028/10000, train MSE = 0.187219, val MSE = 0.183208, val RMSE = 0.428028, val MAE = 0.273598, avg grad norm = 10.323427, clip fraction = 0.9967, epsilon = 19.2797, delta = 1e-05
Epoch 029/10000, train MSE = 0.187095, val MSE = 0.183546, val RMSE = 0.428423, val MAE = 0.274130, avg grad norm = 10.216471, clip fraction = 0.9959, epsilon = 19.6644, delta = 1e-05
Epoch 030/10000, train MSE = 0.186525, val MSE = 0.182967, val RMSE = 0.427746, val MAE = 0.274609, avg grad norm = 10.132064, clip fraction = 0.9961, epsilon = 20.0271, delta = 1e-05
Epoch 031/10000, train MSE = 0.186782, val MSE = 0.182954, val RMSE = 0.427731, val MAE = 0.274761, avg grad norm = 10.190039, clip fraction = 0.9971, epsilon = 20.3898, delta = 1e-05
Epoch 032/10000, train MSE = 0.187285, val MSE = 0.183622, val RMSE = 0.428512, val MAE = 0.274029, avg grad norm = 10.294907, clip fraction = 0.9971, epsilon = 20.7526, delta = 1e-05
Epoch 033/10000, train MSE = 0.186734, val MSE = 0.183236, val RMSE = 0.428061, val MAE = 0.274246, avg grad norm = 10.190635, clip fraction = 0.9955, epsilon = 21.1153, delta = 1e-05
Epoch 034/10000, train MSE = 0.185967, val MSE = 0.182627, val RMSE = 0.427349, val MAE = 0.275211, avg grad norm = 9.957125, clip fraction = 0.9953, epsilon = 21.4780, delta = 1e-05
Epoch 035/10000, train MSE = 0.186200, val MSE = 0.182360, val RMSE = 0.427037, val MAE = 0.274175, avg grad norm = 10.014073, clip fraction = 0.9969, epsilon = 21.8408, delta = 1e-05
Epoch 036/10000, train MSE = 0.186862, val MSE = 0.182888, val RMSE = 0.427655, val MAE = 0.273156, avg grad norm = 10.167266, clip fraction = 0.9973, epsilon = 22.2035, delta = 1e-05
Epoch 037/10000, train MSE = 0.186083, val MSE = 0.182407, val RMSE = 0.427092, val MAE = 0.273621, avg grad norm = 9.967951, clip fraction = 0.9939, epsilon = 22.5599, delta = 1e-05
Epoch 038/10000, train MSE = 0.185845, val MSE = 0.182091, val RMSE = 0.426721, val MAE = 0.274297, avg grad norm = 9.898721, clip fraction = 0.9961, epsilon = 22.8959, delta = 1e-05
Epoch 039/10000, train MSE = 0.186232, val MSE = 0.182152, val RMSE = 0.426793, val MAE = 0.273574, avg grad norm = 9.946033, clip fraction = 0.9961, epsilon = 23.2319, delta = 1e-05
Epoch 040/10000, train MSE = 0.186294, val MSE = 0.182545, val RMSE = 0.427253, val MAE = 0.273707, avg grad norm = 9.887191, clip fraction = 0.9963, epsilon = 23.5680, delta = 1e-05
Epoch 041/10000, train MSE = 0.185871, val MSE = 0.181986, val RMSE = 0.426598, val MAE = 0.274214, avg grad norm = 9.807413, clip fraction = 0.9955, epsilon = 23.9040, delta = 1e-05
Epoch 042/10000, train MSE = 0.186377, val MSE = 0.181995, val RMSE = 0.426609, val MAE = 0.273957, avg grad norm = 9.902326, clip fraction = 0.9969, epsilon = 24.2400, delta = 1e-05
Epoch 043/10000, train MSE = 0.186836, val MSE = 0.183042, val RMSE = 0.427834, val MAE = 0.274557, avg grad norm = 9.912801, clip fraction = 0.9973, epsilon = 24.5761, delta = 1e-05
Epoch 044/10000, train MSE = 0.186075, val MSE = 0.182309, val RMSE = 0.426976, val MAE = 0.274824, avg grad norm = 9.746580, clip fraction = 0.9961, epsilon = 24.9121, delta = 1e-05
Epoch 045/10000, train MSE = 0.186175, val MSE = 0.182305, val RMSE = 0.426972, val MAE = 0.275180, avg grad norm = 9.726063, clip fraction = 0.9953, epsilon = 25.2481, delta = 1e-05
Epoch 046/10000, train MSE = 0.186886, val MSE = 0.182830, val RMSE = 0.427587, val MAE = 0.274203, avg grad norm = 9.852407, clip fraction = 0.9972, epsilon = 25.5842, delta = 1e-05
Epoch 047/10000, train MSE = 0.186408, val MSE = 0.182869, val RMSE = 0.427632, val MAE = 0.274953, avg grad norm = 9.687659, clip fraction = 0.9957, epsilon = 25.9202, delta = 1e-05
Epoch 048/10000, train MSE = 0.185518, val MSE = 0.182031, val RMSE = 0.426651, val MAE = 0.274560, avg grad norm = 9.469285, clip fraction = 0.9955, epsilon = 26.2501, delta = 1e-05
Epoch 049/10000, train MSE = 0.185755, val MSE = 0.181897, val RMSE = 0.426493, val MAE = 0.273750, avg grad norm = 9.487171, clip fraction = 0.9957, epsilon = 26.5609, delta = 1e-05
Epoch 050/10000, train MSE = 0.186141, val MSE = 0.182468, val RMSE = 0.427163, val MAE = 0.273682, avg grad norm = 9.560604, clip fraction = 0.9951, epsilon = 26.8717, delta = 1e-05
Epoch 051/10000, train MSE = 0.185366, val MSE = 0.181838, val RMSE = 0.426425, val MAE = 0.274068, avg grad norm = 9.418659, clip fraction = 0.9941, epsilon = 27.1825, delta = 1e-05
Epoch 052/10000, train MSE = 0.185380, val MSE = 0.181618, val RMSE = 0.426167, val MAE = 0.274070, avg grad norm = 9.430167, clip fraction = 0.9953, epsilon = 27.4933, delta = 1e-05
Epoch 053/10000, train MSE = 0.185778, val MSE = 0.182025, val RMSE = 0.426644, val MAE = 0.273290, avg grad norm = 9.470958, clip fraction = 0.9963, epsilon = 27.8041, delta = 1e-05
Epoch 054/10000, train MSE = 0.185518, val MSE = 0.181918, val RMSE = 0.426519, val MAE = 0.274118, avg grad norm = 9.367401, clip fraction = 0.9937, epsilon = 28.1149, delta = 1e-05
Epoch 055/10000, train MSE = 0.185335, val MSE = 0.181550, val RMSE = 0.426087, val MAE = 0.274186, avg grad norm = 9.371995, clip fraction = 0.9959, epsilon = 28.4257, delta = 1e-05
Epoch 056/10000, train MSE = 0.185958, val MSE = 0.182071, val RMSE = 0.426698, val MAE = 0.273618, avg grad norm = 9.504647, clip fraction = 0.9959, epsilon = 28.7365, delta = 1e-05
Epoch 057/10000, train MSE = 0.185890, val MSE = 0.182273, val RMSE = 0.426935, val MAE = 0.274483, avg grad norm = 9.483165, clip fraction = 0.9949, epsilon = 29.0473, delta = 1e-05
Epoch 058/10000, train MSE = 0.185278, val MSE = 0.181725, val RMSE = 0.426292, val MAE = 0.275018, avg grad norm = 9.371144, clip fraction = 0.9957, epsilon = 29.3581, delta = 1e-05
Epoch 059/10000, train MSE = 0.185450, val MSE = 0.181747, val RMSE = 0.426318, val MAE = 0.274539, avg grad norm = 9.403662, clip fraction = 0.9957, epsilon = 29.6689, delta = 1e-05
Epoch 060/10000, train MSE = 0.185697, val MSE = 0.182041, val RMSE = 0.426663, val MAE = 0.274004, avg grad norm = 9.478796, clip fraction = 0.9967, epsilon = 29.9797, delta = 1e-05
Epoch 061/10000, train MSE = 0.185371, val MSE = 0.181799, val RMSE = 0.426379, val MAE = 0.274007, avg grad norm = 9.365150, clip fraction = 0.9945, epsilon = 30.2905, delta = 1e-05
Epoch 062/10000, train MSE = 0.185095, val MSE = 0.181493, val RMSE = 0.426020, val MAE = 0.274161, avg grad norm = 9.274468, clip fraction = 0.9951, epsilon = 30.6012, delta = 1e-05
Epoch 063/10000, train MSE = 0.185243, val MSE = 0.181470, val RMSE = 0.425993, val MAE = 0.273870, avg grad norm = 9.333980, clip fraction = 0.9965, epsilon = 30.9120, delta = 1e-05
Epoch 064/10000, train MSE = 0.185283, val MSE = 0.181413, val RMSE = 0.425926, val MAE = 0.273702, avg grad norm = 9.403589, clip fraction = 0.9961, epsilon = 31.2073, delta = 1e-05
Epoch 065/10000, train MSE = 0.185084, val MSE = 0.181340, val RMSE = 0.425840, val MAE = 0.273690, avg grad norm = 9.396517, clip fraction = 0.9951, epsilon = 31.4942, delta = 1e-05
Epoch 066/10000, train MSE = 0.184934, val MSE = 0.181183, val RMSE = 0.425656, val MAE = 0.273731, avg grad norm = 9.338188, clip fraction = 0.9953, epsilon = 31.7811, delta = 1e-05
Epoch 067/10000, train MSE = 0.185095, val MSE = 0.181310, val RMSE = 0.425805, val MAE = 0.273774, avg grad norm = 9.342320, clip fraction = 0.9963, epsilon = 32.0680, delta = 1e-05
Epoch 068/10000, train MSE = 0.185193, val MSE = 0.181501, val RMSE = 0.426030, val MAE = 0.273665, avg grad norm = 9.345189, clip fraction = 0.9955, epsilon = 32.3549, delta = 1e-05
Epoch 069/10000, train MSE = 0.185124, val MSE = 0.181623, val RMSE = 0.426172, val MAE = 0.274273, avg grad norm = 9.315799, clip fraction = 0.9951, epsilon = 32.6418, delta = 1e-05
Epoch 070/10000, train MSE = 0.185066, val MSE = 0.181600, val RMSE = 0.426145, val MAE = 0.274417, avg grad norm = 9.333068, clip fraction = 0.9953, epsilon = 32.9287, delta = 1e-05
